Year,Basin,Location,Month,Min,Mean,Max,Type,Lat,Long,Notes
2020,White-Hat,Chadron Creek (WMA),October,NA,NA,NA,Coolwater,42.67966,-102.99912,
2020,White-Hat,Chadron Creek (WMA),November,NA,NA,NA,Coolwater,42.67966,-102.99912,
2020,White-Hat,Chadron Creek (WMA),December,NA,NA,NA,Coolwater,42.67966,-102.99912,
2015,White-Hat,Chadron Creek (Entrance),July,52,60.7,69.8,Coolwater,42.70777,-103.0078,
2015,White-Hat,Chadron Creek (Entrance),August,50.1,60.4,69.6,Coolwater,42.70777,-103.0078,
2015,White-Hat,Chadron Creek (Entrance),September,49.1,57.2,64.1,Coolwater,42.70777,-103.0078,
2015,White-Hat,Chadron Creek (Entrance),October,40.7,51.3,58.8,Coolwater,42.70777,-103.0078,
2015,White-Hat,Chadron Creek (Entrance),November,33.8,43.1,53.1,Coolwater,42.70777,-103.0078,
2015,White-Hat,Chadron Creek (Entrance),December,NA,NA,NA,Coolwater,42.70777,-103.0078,
2016,White-Hat,Chadron Creek (Entrance),January,NA,NA,NA,Coolwater,42.70777,-103.0078,
2016,White-Hat,Chadron Creek (Entrance),February,NA,NA,NA,Coolwater,42.70777,-103.0078,
2016,White-Hat,Chadron Creek (Entrance),March,NA,NA,NA,Coolwater,42.70777,-103.0078,
2016,White-Hat,Chadron Creek (Entrance),April,NA,NA,NA,Coolwater,42.70777,-103.0078,
2016,White-Hat,Chadron Creek (Entrance),May,NA,NA,NA,Coolwater,42.70777,-103.0078,
2016,White-Hat,Chadron Creek (Entrance),June,NA,NA,NA,Coolwater,42.70777,-103.0078,
2016,White-Hat,Chadron Creek (Entrance),July,NA,NA,NA,Coolwater,42.70777,-103.0078,
2016,White-Hat,Chadron Creek (Entrance),August,NA,NA,NA,Coolwater,42.70777,-103.0078,
2016,White-Hat,Chadron Creek (Entrance),September,45.851,54.39466482,61.419,Coolwater,42.70781,-103.0076,
2016,White-Hat,Chadron Creek (Entrance),October,42.202,50.69147681,60.474,Coolwater,42.70781,-103.0076,
2016,White-Hat,Chadron Creek (Entrance),November,33.831,44.60787257,53.078,Coolwater,42.70781,-103.0076,
2016,White-Hat,Chadron Creek (Entrance),December,31.842,36.48008636,43.396,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),January,31.842,37.4309664,46.571,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),February,31.842,41.15084152,54.126,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),March,35.83,46.08307325,60.775,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),April,36.603,49.93128194,64.459,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),May,42.663,53.28104167,66.814,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),June,51.282,57.68012708,64.117,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),July,53.559,62.44572009,68.571,Coolwater,42.70781,-103.0076,
