Date,Temp
6/11/2017,57.549
6/11/2017,57.679
6/11/2017,57.85
6/11/2017,58.066
6/11/2017,58.282
6/11/2017,58.582
6/11/2017,58.885
6/11/2017,59.229
6/11/2017,59.529
6/11/2017,59.873
6/11/2017,60.132
6/11/2017,60.433
6/11/2017,60.904
6/11/2017,61.119
6/11/2017,61.333
6/11/2017,61.462
6/11/2017,61.761
6/11/2017,62.191
6/11/2017,62.406
6/11/2017,62.447
6/11/2017,62.704
6/11/2017,63.005
6/11/2017,63.133
6/11/2017,63.304
6/11/2017,63.304
6/11/2017,63.347
6/11/2017,63.518
6/11/2017,63.561
6/11/2017,63.518
6/11/2017,63.518
6/11/2017,63.518
6/11/2017,63.475
6/11/2017,63.475
6/11/2017,63.475
6/11/2017,63.433
6/11/2017,63.304
6/11/2017,63.219
6/11/2017,63.133
6/11/2017,63.005
6/11/2017,62.875
6/11/2017,62.704
6/11/2017,62.533
6/11/2017,62.362
6/11/2017,62.191
6/11/2017,61.977
6/11/2017,61.761
6/11/2017,61.547
6/11/2017,61.333
6/11/2017,61.162
6/11/2017,60.948
6/11/2017,60.775
6/11/2017,60.604
6/11/2017,60.433
6/11/2017,60.26
6/12/2017,60.089
6/12/2017,59.916
6/12/2017,59.745
6/12/2017,59.572
6/12/2017,59.445
6/12/2017,59.272
6/12/2017,59.142
6/12/2017,59.014
6/12/2017,58.885
6/12/2017,58.798
6/12/2017,58.669
6/12/2017,58.582
6/12/2017,58.498
6/12/2017,58.411
6/12/2017,58.325
6/12/2017,58.239
6/12/2017,58.152
6/12/2017,58.066
6/12/2017,57.979
6/12/2017,57.893
6/12/2017,57.807
6/12/2017,57.722
6/12/2017,57.636
6/12/2017,57.549
6/12/2017,57.463
6/12/2017,57.376
6/12/2017,57.29
6/12/2017,57.204
6/12/2017,57.16
6/12/2017,57.074
6/12/2017,56.988
6/12/2017,56.944
6/12/2017,56.858
6/12/2017,56.815
6/12/2017,56.772
6/12/2017,56.772
6/12/2017,56.728
6/12/2017,56.728
6/12/2017,56.772
6/12/2017,56.858
6/12/2017,56.944
6/12/2017,57.031
6/12/2017,57.117
6/12/2017,57.204
6/12/2017,57.42
6/12/2017,57.679
6/12/2017,57.936
6/12/2017,58.239
6/12/2017,58.582
6/12/2017,58.928
6/12/2017,59.315
6/12/2017,59.745
6/12/2017,60.26
6/12/2017,60.433
6/12/2017,60.948
