"Plot Title: Gordon Creek 1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739566, SEN S/N: 10739566)","Coupler Detached (LGR S/N: 10739566)","Coupler Attached (LGR S/N: 10739566)","Host Connected (LGR S/N: 10739566)","End Of File (LGR S/N: 10739566)"
1,07/31/15 02:00:00 PM,77.335,Logged,,,
2,07/31/15 02:15:00 PM,77.945,,,,
3,07/31/15 02:30:00 PM,77.815,,,,
4,07/31/15 02:45:00 PM,78.208,,,,
5,07/31/15 03:00:00 PM,78.690,,,,
6,07/31/15 03:15:00 PM,79.216,,,,
7,07/31/15 03:30:00 PM,79.655,,,,
8,07/31/15 03:45:00 PM,80.008,,,,
9,07/31/15 04:00:00 PM,80.008,,,,
10,07/31/15 04:15:00 PM,79.435,,,,
11,07/31/15 04:30:00 PM,79.128,,,,
12,07/31/15 04:45:00 PM,79.173,,,,
13,07/31/15 05:00:00 PM,79.216,,,,
14,07/31/15 05:15:00 PM,78.996,,,,
15,07/31/15 05:30:00 PM,78.645,,,,
16,07/31/15 05:45:00 PM,77.770,,,,
17,07/31/15 06:00:00 PM,77.117,,,,
18,07/31/15 06:15:00 PM,76.811,,,,
19,07/31/15 06:30:00 PM,76.246,,,,
20,07/31/15 06:45:00 PM,75.681,,,,
21,07/31/15 07:00:00 PM,74.899,,,,
22,07/31/15 07:15:00 PM,73.731,,,,
23,07/31/15 07:30:00 PM,73.040,,,,
24,07/31/15 07:45:00 PM,72.264,,,,
25,07/31/15 08:00:00 PM,71.877,,,,
26,07/31/15 08:15:00 PM,73.429,,,,
27,07/31/15 08:30:00 PM,73.170,,,,
28,07/31/15 08:45:00 PM,73.170,,,,
29,07/31/15 09:00:00 PM,72.221,,,,
30,07/31/15 09:15:00 PM,71.661,,,,
31,07/31/15 09:30:00 PM,71.274,,,,
32,07/31/15 09:45:00 PM,71.146,,,,
33,07/31/15 10:00:00 PM,70.974,,,,
34,07/31/15 10:15:00 PM,70.543,,,,
35,07/31/15 10:30:00 PM,69.858,,,,
36,07/31/15 10:45:00 PM,69.600,,,,
37,07/31/15 11:00:00 PM,69.600,,,,
38,07/31/15 11:15:00 PM,69.471,,,,
39,07/31/15 11:30:00 PM,68.785,,,,
40,07/31/15 11:45:00 PM,68.484,,,,
41,08/01/15 12:00:00 AM,68.099,,,,
42,08/01/15 12:15:00 AM,67.842,,,,
43,08/01/15 12:30:00 AM,67.543,,,,
44,08/01/15 12:45:00 AM,67.885,,,,
45,08/01/15 01:00:00 AM,68.443,,,,
46,08/01/15 01:15:00 AM,68.614,,,,
47,08/01/15 01:30:00 AM,68.443,,,,
48,08/01/15 01:45:00 AM,68.270,,,,
49,08/01/15 02:00:00 AM,68.099,,,,
50,08/01/15 02:15:00 AM,67.885,,,,
51,08/01/15 02:30:00 AM,67.798,,,,
52,08/01/15 02:45:00 AM,67.842,,,,
53,08/01/15 03:00:00 AM,68.227,,,,
54,08/01/15 03:15:00 AM,68.227,,,,
55,08/01/15 03:30:00 AM,68.099,,,,
56,08/01/15 03:45:00 AM,67.885,,,,
57,08/01/15 04:00:00 AM,67.671,,,,
58,08/01/15 04:15:00 AM,67.372,,,,
59,08/01/15 04:30:00 AM,67.114,,,,
60,08/01/15 04:45:00 AM,66.943,,,,
61,08/01/15 05:00:00 AM,66.857,,,,
62,08/01/15 05:15:00 AM,66.729,,,,
63,08/01/15 05:30:00 AM,66.600,,,,
64,08/01/15 05:45:00 AM,66.772,,,,
65,08/01/15 06:00:00 AM,66.772,,,,
66,08/01/15 06:15:00 AM,66.729,,,,
67,08/01/15 06:30:00 AM,66.600,,,,
68,08/01/15 06:45:00 AM,66.472,,,,
69,08/01/15 07:00:00 AM,66.344,,,,
70,08/01/15 07:15:00 AM,66.258,,,,
71,08/01/15 07:30:00 AM,66.214,,,,
72,08/01/15 07:45:00 AM,66.214,,,,
73,08/01/15 08:00:00 AM,66.214,,,,
74,08/01/15 08:15:00 AM,66.173,,,,
75,08/01/15 08:30:00 AM,66.173,,,,
76,08/01/15 08:45:00 AM,66.258,,,,
77,08/01/15 09:00:00 AM,66.472,,,,
78,08/01/15 09:15:00 AM,66.857,,,,
79,08/01/15 09:30:00 AM,66.985,,,,
80,08/01/15 09:45:00 AM,67.158,,,,
81,08/01/15 10:00:00 AM,67.413,,,,
82,08/01/15 10:15:00 AM,67.671,,,,
83,08/01/15 10:30:00 AM,67.885,,,,
84,08/01/15 10:45:00 AM,68.313,,,,
85,08/01/15 11:00:00 AM,68.356,,,,
86,08/01/15 11:15:00 AM,68.913,,,,
87,08/01/15 11:30:00 AM,69.514,,,,
88,08/01/15 11:45:00 AM,69.600,,,,
89,08/01/15 12:00:00 PM,69.557,,,,
90,08/01/15 12:15:00 PM,70.115,,,,
91,08/01/15 12:30:00 PM,70.803,,,,
92,08/01/15 12:45:00 PM,71.146,,,,
93,08/01/15 01:00:00 PM,71.791,,,,
94,08/01/15 01:15:00 PM,72.178,,,,
95,08/01/15 01:30:00 PM,72.653,,,,
96,08/01/15 01:45:00 PM,72.997,,,,
97,08/01/15 02:00:00 PM,73.213,,,,
98,08/01/15 02:15:00 PM,73.386,,,,
99,08/01/15 02:30:00 PM,73.083,,,,
100,08/01/15 02:45:00 PM,72.567,,,,
101,08/01/15 03:00:00 PM,72.610,,,,
102,08/01/15 03:15:00 PM,72.696,,,,
103,08/01/15 03:30:00 PM,72.394,,,,
104,08/01/15 03:45:00 PM,72.221,,,,
105,08/01/15 04:00:00 PM,71.834,,,,
106,08/01/15 04:15:00 PM,72.567,,,,
107,08/01/15 04:30:00 PM,73.515,,,,
108,08/01/15 04:45:00 PM,73.688,,,,
109,08/01/15 05:00:00 PM,74.206,,,,
110,08/01/15 05:15:00 PM,75.029,,,,
111,08/01/15 05:30:00 PM,74.511,,,,
112,08/01/15 05:45:00 PM,73.256,,,,
113,08/01/15 06:00:00 PM,72.007,,,,
114,08/01/15 06:15:00 PM,71.146,,,,
115,08/01/15 06:30:00 PM,70.803,,,,
116,08/01/15 06:45:00 PM,70.930,,,,
117,08/01/15 07:00:00 PM,70.846,,,,
118,08/01/15 07:15:00 PM,70.416,,,,
119,08/01/15 07:30:00 PM,70.029,,,,
120,08/01/15 07:45:00 PM,69.771,,,,
121,08/01/15 08:00:00 PM,70.502,,,,
122,08/01/15 08:15:00 PM,70.846,,,,
123,08/01/15 08:30:00 PM,72.050,,,,
124,08/01/15 08:45:00 PM,72.093,,,,
125,08/01/15 09:00:00 PM,71.661,,,,
126,08/01/15 09:15:00 PM,71.231,,,,
