Site,Date,Temp
WMA,7/18/2015,57.096
WMA,7/18/2015,56.577
WMA,7/18/2015,56.057
WMA,7/18/2015,55.711
WMA,7/19/2015,55.189
WMA,7/19/2015,54.842
WMA,7/19/2015,54.669
WMA,7/19/2015,54.669
WMA,7/19/2015,54.495
WMA,7/19/2015,54.322
WMA,7/19/2015,54.147
WMA,7/19/2015,54.495
WMA,7/19/2015,55.189
WMA,7/19/2015,56.577
WMA,7/19/2015,58.303
WMA,7/19/2015,60.024
WMA,7/19/2015,61.741
WMA,7/19/2015,63.282
WMA,7/19/2015,63.111
WMA,7/19/2015,62.598
WMA,7/19/2015,62.083
WMA,7/19/2015,61.741
WMA,7/19/2015,61.227
WMA,7/19/2015,59.68
WMA,7/19/2015,58.303
WMA,7/19/2015,57.441
WMA,7/19/2015,56.577
WMA,7/19/2015,56.057
WMA,7/20/2015,55.711
WMA,7/20/2015,55.364
WMA,7/20/2015,55.017
WMA,7/20/2015,54.669
WMA,7/20/2015,54.495
WMA,7/20/2015,54.322
WMA,7/20/2015,54.322
WMA,7/20/2015,54.322
WMA,7/20/2015,55.017
WMA,7/20/2015,56.23
WMA,7/20/2015,57.785
WMA,7/20/2015,59.337
WMA,7/20/2015,61.227
WMA,7/20/2015,62.769
WMA,7/20/2015,63.282
WMA,7/20/2015,63.455
WMA,7/20/2015,62.598
WMA,7/20/2015,61.227
WMA,7/20/2015,60.539
WMA,7/20/2015,59.164
WMA,7/20/2015,57.958
WMA,7/20/2015,56.923
WMA,7/20/2015,56.23
WMA,7/20/2015,55.884
WMA,7/21/2015,55.537
WMA,7/21/2015,55.537
WMA,7/21/2015,55.537
WMA,7/21/2015,55.711
WMA,7/21/2015,55.711
WMA,7/21/2015,55.711
WMA,7/21/2015,55.711
WMA,7/21/2015,55.884
WMA,7/21/2015,56.404
WMA,7/21/2015,56.577
WMA,7/21/2015,57.096
WMA,7/21/2015,57.614
WMA,7/21/2015,57.441
WMA,7/21/2015,57.268
WMA,7/21/2015,57.096
WMA,7/21/2015,57.268
WMA,7/21/2015,57.785
WMA,7/21/2015,59.164
WMA,7/21/2015,58.993
WMA,7/21/2015,58.303
WMA,7/21/2015,57.614
WMA,7/21/2015,56.923
WMA,7/21/2015,56.404
WMA,7/21/2015,56.057
WMA,7/22/2015,55.711
WMA,7/22/2015,55.537
WMA,7/22/2015,55.364
WMA,7/22/2015,55.189
WMA,7/22/2015,55.189
WMA,7/22/2015,55.017
WMA,7/22/2015,55.017
WMA,7/22/2015,55.017
WMA,7/22/2015,55.537
WMA,7/22/2015,56.75
WMA,7/22/2015,58.131
WMA,7/22/2015,59.68
WMA,7/22/2015,61.398
WMA,7/22/2015,62.769
WMA,7/22/2015,63.797
WMA,7/22/2015,63.968
WMA,7/22/2015,63.626
WMA,7/22/2015,62.598
WMA,7/22/2015,61.398
WMA,7/22/2015,59.851
WMA,7/22/2015,58.303
WMA,7/22/2015,57.441
WMA,7/22/2015,56.75
WMA,7/22/2015,56.23
WMA,7/23/2015,55.884
WMA,7/23/2015,55.537
WMA,7/23/2015,55.364
WMA,7/23/2015,55.189
WMA,7/23/2015,55.189
WMA,7/23/2015,55.017
WMA,7/23/2015,54.842
