ID,DateTime,TempF,Location,,
114,7/10/2015 16:15,69.085,Gordon Creek #2,,
115,7/10/2015 16:30,68.742,Gordon Creek #2,,
116,7/10/2015 16:45,68.698,Gordon Creek #2,,
117,7/10/2015 17:00,68.785,Gordon Creek #2,,
118,7/10/2015 17:15,69.042,Gordon Creek #2,,
119,7/10/2015 17:30,69.129,Gordon Creek #2,,
120,7/10/2015 17:45,69.213,Gordon Creek #2,,
121,7/10/2015 18:00,69.343,Gordon Creek #2,,
122,7/10/2015 18:15,69.557,Gordon Creek #2,,
123,7/10/2015 18:30,69.814,Gordon Creek #2,,
124,7/10/2015 18:45,70.029,Gordon Creek #2,,
125,7/10/2015 19:00,70.201,Gordon Creek #2,,
126,7/10/2015 19:15,70.243,Gordon Creek #2,,
127,7/10/2015 19:30,70.243,Gordon Creek #2,,
128,7/10/2015 19:45,70.029,Gordon Creek #2,,
129,7/10/2015 20:00,69.985,Gordon Creek #2,,
130,7/10/2015 20:15,69.814,Gordon Creek #2,,
131,7/10/2015 20:30,69.6,Gordon Creek #2,,
132,7/10/2015 20:45,69.471,Gordon Creek #2,,
133,7/10/2015 21:00,69.343,Gordon Creek #2,,
134,7/10/2015 21:15,69.17,Gordon Creek #2,,
135,7/10/2015 21:30,69.042,Gordon Creek #2,,
136,7/10/2015 21:45,68.913,Gordon Creek #2,,
137,7/10/2015 22:00,68.871,Gordon Creek #2,,
138,7/10/2015 22:15,68.828,Gordon Creek #2,,
139,7/10/2015 22:30,68.742,Gordon Creek #2,,
140,7/10/2015 22:45,68.614,Gordon Creek #2,,
141,7/10/2015 23:00,68.527,Gordon Creek #2,,
142,7/10/2015 23:15,68.4,Gordon Creek #2,,
143,7/10/2015 23:30,68.27,Gordon Creek #2,,
144,7/10/2015 23:45,68.185,Gordon Creek #2,,
145,7/11/2015 0:00,68.142,Gordon Creek #2,,
146,7/11/2015 0:15,68.013,Gordon Creek #2,,
147,7/11/2015 0:30,67.971,Gordon Creek #2,,
148,7/11/2015 0:45,67.885,Gordon Creek #2,,
149,7/11/2015 1:00,67.798,Gordon Creek #2,,
150,7/11/2015 1:15,67.757,Gordon Creek #2,,
151,7/11/2015 1:30,67.671,Gordon Creek #2,,
152,7/11/2015 1:45,67.586,Gordon Creek #2,,
153,7/11/2015 2:00,67.543,Gordon Creek #2,,
154,7/11/2015 2:15,67.456,Gordon Creek #2,,
155,7/11/2015 2:30,67.372,Gordon Creek #2,,
156,7/11/2015 2:45,67.329,Gordon Creek #2,,
157,7/11/2015 3:00,67.199,Gordon Creek #2,,
158,7/11/2015 3:15,67.114,Gordon Creek #2,,
159,7/11/2015 3:30,66.985,Gordon Creek #2,,
160,7/11/2015 3:45,66.9,Gordon Creek #2,,
161,7/11/2015 4:00,66.814,Gordon Creek #2,,
162,7/11/2015 4:15,66.686,Gordon Creek #2,,
163,7/11/2015 4:30,66.6,Gordon Creek #2,,
164,7/11/2015 4:45,66.515,Gordon Creek #2,,
165,7/11/2015 5:00,66.429,Gordon Creek #2,,
166,7/11/2015 5:15,66.344,Gordon Creek #2,,
